AV,AC,PR,UI,Scope,CI,II,AI,baseScore
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,N,L,L,6.5
N,L,L,N,U,H,H,H,8.8
L,H,L,N,U,H,H,H,7.0
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,N,N,H,7.5
N,L,N,N,U,L,L,H,8.6
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,H,H,9.8
N,L,L,N,U,H,H,H,8.8
N,L,L,R,C,L,L,N,5.4
N,L,N,R,C,L,L,N,6.1
N,L,N,N,U,N,H,N,7.5
N,L,L,N,U,N,H,N,6.5
N,L,L,N,U,L,L,L,6.3
N,L,N,R,C,L,L,N,6.1
N,L,N,N,U,H,H,H,9.8
N,L,L,N,U,H,H,H,8.8
N,L,L,N,U,H,H,H,8.8
N,L,L,N,U,H,H,H,8.8
N,L,L,N,U,H,H,H,8.8
N,L,L,N,U,H,N,N,6.5
N,L,N,N,U,H,H,H,9.8
N,L,L,N,U,H,H,H,8.8
N,L,N,R,U,H,N,H,8.1
N,L,N,R,U,H,N,H,8.1
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,N,H,9.1
N,L,L,N,U,H,H,H,8.8
L,L,L,N,U,L,N,H,6.1
L,L,L,N,U,H,N,N,5.5
N,L,N,N,U,H,N,N,7.5
N,L,L,N,U,H,H,H,8.8
N,L,N,N,U,N,L,N,5.3
N,L,N,R,U,H,H,H,8.8
N,L,N,R,C,L,L,N,6.1
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,N,N,7.5
N,L,N,R,C,L,L,N,6.1
N,L,N,R,C,L,L,N,6.1
N,L,N,N,U,H,N,N,7.5
N,L,N,N,U,L,N,N,5.3
N,L,N,N,U,H,H,H,9.8
L,L,N,R,U,N,N,H,5.5
N,H,N,N,C,H,H,H,9.0
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,N,N,H,7.5
N,L,L,N,U,H,N,N,6.5
N,L,L,R,C,L,L,N,5.4
N,L,N,N,U,H,H,H,9.8
N,L,N,N,U,H,H,H,9.8
N,L,L,R,C,L,L,N,5.4
N,L,H,N,U,H,H,H,7.2
N,L,H,N,U,H,N,N,4.9
N,L,N,R,C,L,L,N,6.1
N,L,H,N,U,H,H,H,7.2
N,L,H,N,U,H,H,H,7.2
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,N,U,N,L,N,2.7
N,L,H,N,U,N,H,H,6.5
N,L,H,N,U,L,N,N,2.7
N,L,H,N,U,N,H,N,4.9
N,L,N,R,C,L,L,N,6.1
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,H,R,C,L,L,N,4.8
N,L,N,R,U,H,H,H,8.8
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,H,N,6.5
N,L,N,R,U,N,H,N,6.5
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,L,N,4.3
N,L,N,R,U,N,H,N,6.5
N,L,N,R,U,N,L,N,4.3
